#{"t_start": 1782183918.017366, "env_id": "None"}
r,l,t,true_done
1.19,12,13.742526,True
0.84,17,13.752668,True
0.85,16,13.761427,True
1.17,14,13.769573,True
1.15,16,13.778485,True
0.85,16,13.786892,True
1.15,16,13.796097,True
1.15,16,13.804044,True
0.88,13,13.810385,True
1.19,12,13.816153,True
1.19,12,13.821882,True
1.17,14,13.828461,True
0.85,16,13.836181,True
1.19,12,13.842044,True
1.17,14,13.84882,True
1.11,20,13.858495,True
0.82,19,13.867548,True
1.12,19,13.876891,True
1.19,12,13.882718,True
1.15,16,13.890455,True
0.86,15,13.897519,True
1.17,14,13.90444,True
1.14,17,13.912763,True
1.17,14,13.91977,True
1.14,17,13.92825,True
0.89,12,13.93441,True
1.17,14,13.941301,True
0.86,15,13.948702,True
1.17,14,13.955885,True
0.88,13,13.962319,True
1.16,15,13.970359,True
0.88,13,13.976676,True
1.13,18,13.985822,True
0.79,22,13.996794,True
1.13,18,14.005363,True
1.1,21,14.01547,True
0.86,15,14.024808,True
0.89,12,14.030857,True
1.15,16,14.03873,True
1.18,13,14.044922,True
1.14,17,14.053595,True
0.85,16,14.061074,True
0.83,18,14.069513,True
0.83,18,14.078536,True
1.08,23,14.089959,True
1.17,14,14.097098,True
0.87,14,14.104132,True
0.89,12,14.110168,True
1.18,13,14.116795,True
0.89,12,14.122899,True
1.17,14,14.129562,True
1.15,16,14.137202,True
1.17,14,14.144125,True
1.13,18,14.153025,True
1.18,13,14.159708,True
0.84,17,14.168021,True
1.18,13,14.175474,True
1.12,19,14.185054,True
1.19,12,14.191085,True
1.17,14,14.197994,True
1.19,12,14.204303,True
0.87,14,14.210977,True
1.08,23,14.221947,True
1.13,18,14.230774,True
1.18,13,14.237065,True
1.18,13,14.243317,True
0.77,24,14.254891,True
1.17,14,14.26168,True
1.17,14,14.268523,True
1.13,18,14.277159,True
1.16,15,14.284778,True
1.15,16,14.292473,True
0.85,16,14.300455,True
1.17,14,14.307489,True
0.89,12,14.313517,True
1.12,19,14.32263,True
1.19,12,14.328372,True
0.89,12,14.334121,True
1.16,15,14.341303,True
1.14,17,14.349547,True
1.15,16,14.357229,True
1.19,12,14.362946,True
1.17,14,14.36973,True
0.87,14,14.376512,True
0.83,18,14.385068,True
1.13,18,14.393769,True
1.17,14,14.400419,True
0.85,16,14.408455,True
0.87,14,14.415126,True
0.86,15,14.422313,True
1.09,22,14.432821,True
1.17,14,14.439799,True
1.19,12,14.445714,True
1.19,12,14.451642,True
0.87,14,14.458466,True
1.11,20,14.468288,True
1.15,16,14.476047,True
1.17,14,14.482998,True
0.89,12,14.488767,True
1.13,18,14.497343,True
1.15,16,14.505053,True
0.83,18,14.513646,True
0.87,14,14.5204,True
0.87,14,14.52691,True
1.14,17,14.535207,True
1.17,14,14.541872,True
1.05,26,14.554276,True
0.87,14,14.560875,True
1.17,14,14.567553,True
1.17,14,14.574459,True
1.18,13,14.580524,True
0.84,17,14.589124,True
1.16,15,14.596316,True
0.85,16,14.603841,True
0.83,18,14.612374,True
1.14,17,14.620662,True
0.85,16,14.628345,True
0.84,17,14.636524,True
1.17,14,14.643785,True
1.12,19,15.532578,True
1.19,12,15.538939,True
1.19,12,15.545903,True
1.14,17,15.556124,True
0.87,14,15.563867,True
0.83,18,15.573639,True
1.19,12,15.581081,True
0.87,14,15.589833,True
1.16,15,15.598844,True
0.82,19,15.609099,True
1.19,12,15.615823,True
1.19,12,15.622728,True
0.85,16,15.632514,True
1.15,16,15.642193,True
1.17,14,15.650803,True
1.17,14,15.660232,True
1.13,18,15.6715,True
1.17,14,15.680215,True
1.19,12,15.687443,True
0.88,13,15.695297,True
1.17,14,15.704925,True
1.1,21,15.716716,True
1.15,16,15.724534,True
1.14,17,15.732908,True
1.19,12,15.738647,True
1.17,14,15.745779,True
1.19,12,15.75174,True
1.19,12,15.757891,True
1.16,15,15.765532,True
1.17,14,15.772621,True
1.19,12,15.778586,True
1.19,12,15.784959,True
1.19,12,15.791398,True
1.17,14,15.79814,True
0.84,17,15.806352,True
0.83,18,15.815057,True
1.15,16,15.8231,True
0.89,12,15.828748,True
1.17,14,15.835378,True
0.85,16,15.843143,True
1.17,14,15.849879,True
1.16,15,15.856825,True
